"","all.ResponseID","all.wc","all.polarity","all.pos.words","all.neg.words","all.text.var","group.ResponseID","group.total.sentences","group.total.words","group.ave.polarity","group.sd.polarity","group.stan.mean.polarity"
"1","R_2QFmP0ZVX0yHR5V",15,0,"-","-","The email can't easily be configured to send outgoing mail as a different email address.","R_00plcILuyg6Dlyp",1,0,NA,NA,NA
"2","R_1P5dPUTx1uDiXkz",21,0.436435780471985,"c(""good"", ""like"")","-","It's good for me just the way it is. I like that you have a CHOICE to pay monthly or yearlr.","R_01DQ7K7cnj9XVXb",1,12,0.577350269189626,NA,NA
"3","R_xmRlvcmWmSyNj6V",5,0.447213595499958,"fine","-","Actually it's fine as is.","R_02EGlxFUVd1e7gl",1,119,0.0916698497028211,NA,NA
"4","R_DwXYuRTmKXqsqBj",1,0,"-","-","Nothing","R_02gzorQryX0kNPP",1,0,NA,NA,NA
"5","R_2OPCkqjfBugwcfe",32,-0.353553390593274,"-","c(""pleas"", ""travesty"")","I tried to subscribe to Office 365 and was never able to access it. My pleas for help went unanswered. Your online subscription service is a travesty and you ought to drop it.","R_02iK7KL6fVGhrtD",1,11,0,NA,NA
"6","R_2QoKiqW6q4r8xPu",11,0.301511344577764,"easier","-","easier to use . need it all in one place on toolbar.","R_02K1m23bk0jpyRb",1,4,0,NA,NA
"7","R_02iK7KL6fVGhrtD",11,0,"-","-","Make it actually be able to download it on my laptop","R_02RKVswUThK8zmN",1,6,-0.0816496580927726,NA,NA
"8","R_2D7xvgwFZHhBnTr",40,0.632455532033676,"c(""work"", ""work"", ""correctly"")","hard","Make it not so hard to renew every year!! Had to download the renewal, uninstall it and reinstall it again in order to work!! Way to much work consider it was paid (renewed)for 2 months before it was uploaded correctly","R_06c8XzDMoaB7SaR",1,8,0.707106781186547,NA,NA
"9","R_2xPCODJJh0izcPq",0,NA,"-","-","","R_06NFUIUG4ScsLeh",1,21,0.611010092660779,NA,NA
"10","R_3L585gjVU5l08yq",0,NA,"-","-","","R_07KSEMUROuxCK65",1,4,0,NA,NA
"11","R_RCgDm1UhxAdq7VD",7,0,"-","-","not sure. I find it completely functional","R_07LFyk1mpkiZSPD",1,10,0,NA,NA
"12","R_3MT0pw6jCvwwe3o",0,NA,"-","-","","R_07ola9lOIVlARPj",1,0,NA,NA,NA
"13","R_25z011FCJHOW8Yx",0,NA,"-","-","","R_08N6nu09mMHvUbf",1,0,NA,NA,NA
"14","R_1KiKMUfMyTiIJ3i",2,0,"-","-","Don't know","R_08wDGQr9lnYeOhX",1,0,NA,NA,NA
"15","R_3gXfmr4cTjtxQkg",0,NA,"-","-","","R_08xeD7QfTi9Y0rn",1,7,0,NA,NA
"16","R_3RdPJoYCMrM7djd",0,NA,"-","-","","R_09fPD6QBmREIEhj",1,0,NA,NA,NA
"17","R_3HpElVvxnajL2dH",28,0.188982236504614,"better","-","So many new apps and I'm not sure what they all do.  Maybe have a better description or a place that describes each app and what it does.","R_0AnUxLeZLUo1JN7",1,0,NA,NA,NA
"18","R_3IaV6Mq9uXCSnqy",0,NA,"-","-","","R_0BNPCw4w0DPckxj",1,0,NA,NA,NA
"19","R_2WC3Q97FEUJnJ0w",0,NA,"-","-","","R_0BSBbD6FHxuKFBD",1,13,0.499230176602706,NA,NA
"20","R_2WDuLfhwWj5F7Oc",0,NA,"-","-","","R_0CcS9vEZpuDrjPj",1,21,0.436435780471985,NA,NA
"21","R_2D6366j2nC9QFWm",0,NA,"-","-","","R_0CiaIUWY770Gvu1",1,0,NA,NA,NA
"22","R_0SqKzODivq9IsOl",0,NA,"-","-","","R_0CIJLaGP41eCnRf",1,0,NA,NA,NA
"23","R_10UTPGcd7Wukr2H",0,NA,"-","-","","R_0czyaFgjjfg7ML7",1,0,NA,NA,NA
"24","R_1qfE0cV53yfLgCl",2,0,"-","-","No comment.","R_0D4zDPEH21GDPpL",1,0,NA,NA,NA
"25","R_10TnjK6wWxmYAak",0,NA,"-","-","","R_0DN3BaikIAfOgBX",1,0,NA,NA,NA
"26","R_AjSkZsobTkKJtzH",0,NA,"-","-","","R_0DO29FmPE2OwKxX",1,10,0,NA,NA
