ResponseID,StartDate,EndDate,Week No.,Q001,Q001_999,Weight
R_2QFmP0ZVX0yHR5V,8/30/2017 0:00,8/30/2017 0:00,35,2,The email can't easily be configured to send outgoing mail as a different email address.,0.54332
R_1P5dPUTx1uDiXkz,8/30/2017 0:00,8/30/2017 0:00,35,5,It's good for me just the way it is. I like that you have a CHOICE to pay monthly or yearlr.,2.04044
R_xmRlvcmWmSyNj6V,8/30/2017 0:00,8/30/2017 0:00,35,5,Actually it's fine as is.,0.55602
R_DwXYuRTmKXqsqBj,8/30/2017 0:00,8/30/2017 0:00,35,4,Nothing,0.23121
R_2OPCkqjfBugwcfe,8/30/2017 0:00,8/30/2017 0:00,35,1,I tried to subscribe to Office 365 and was never able to access it. My pleas for help went unanswered. Your online subscription service is a travesty and you ought to drop it.,0.11228
R_2QoKiqW6q4r8xPu,8/30/2017 0:00,8/30/2017 0:00,35,4,easier to use . need it all in one place on toolbar.,0.43839
R_02iK7KL6fVGhrtD,8/30/2017 0:00,8/30/2017 0:00,35,1,Make it actually be able to download it on my laptop,2.44674
R_2D7xvgwFZHhBnTr,8/30/2017 0:00,8/30/2017 0:00,35,3,"Make it not so hard to renew every year!! Had to download the renewal, uninstall it and reinstall it again in order to work!! Way to much work consider it was paid (renewed)for 2 months before it was uploaded correctly",1.36506
R_2xPCODJJh0izcPq,8/30/2017 0:00,8/30/2017 0:00,35,5,,2.36747
R_3L585gjVU5l08yq,8/30/2017 0:00,8/30/2017 0:00,35,5,,1.97433
R_RCgDm1UhxAdq7VD,8/30/2017 0:00,8/30/2017 0:00,35,4,not sure. I find it completely functional,0.09049
R_3MT0pw6jCvwwe3o,8/30/2017 0:00,8/30/2017 0:00,35,4,,1.65341
R_25z011FCJHOW8Yx,8/30/2017 0:00,8/30/2017 0:00,35,5,,1.33224
R_1KiKMUfMyTiIJ3i,8/30/2017 0:00,8/30/2017 0:00,35,4,Don't know,0.12922
